GmLine v3.0(Contour)
18	4.5
15382126.684370	4430309.974578	-1
15394195.108637	4421503.286600	-1
15416048.741768	4410087.209593	-1
15431052.728692	4406499.299676	-1
15457798.966254	4402911.389759	-1
15478021.731239	4402585.216131	-1
15516510.219437	4407477.820563	-1
15548149.061430	4408782.515078	-1
15562174.527468	4409108.688707	-1
38	3.0
15454211.056337	4477931.324382	-1
15465627.133345	4473038.719950	-1
15484219.030186	4467493.768261	-1
15503789.447914	4460317.948427	-1
15524338.386528	4455099.170367	-1
15550432.276831	4450858.913192	-1
15567067.131900	4443356.919730	-1
15592508.674946	4431288.495464	-1
15603272.404697	4418893.897570	-1
15600010.668409	4410739.556850	-1
15590225.459545	4405520.778790	-1
15558586.617551	4402911.389759	-1
15536732.984422	4400954.347987	-1
15516510.219437	4399323.479843	-1
15488459.287360	4399323.479843	-1
15472476.779549	4398671.132585	-1
15451601.667307	4398671.132585	-1
15426160.124260	4401280.521615	-1
15410177.616449	4406825.473305	-1
15392238.066864	4411391.904108	-1
15378538.774453	4418241.550312	-1
15374298.517277	4426395.891032	-1
15371036.780988	4443030.746101	-1
15368427.391957	4452815.954964	-1
15366470.350184	4470429.330919	-1
15366144.176555	4483476.276071	-1
15366470.350183	4513810.423549	-1
15372015.301875	4533054.667648	-1
15380495.816226	4541861.355625	-1
15386040.767916	4541209.008368	-1
15390933.372349	4539251.966595	-1
15395173.629524	4534685.535792	-1
15397783.018554	4527183.542330	-1
15399413.886698	4520660.069754	-1
15402675.622987	4513484.249921	-1
15407894.401048	4503699.041057	-1
15444099.673844	4481193.060670	-1
15467910.348746	4470755.504549	-1
