GmLine v3.0(Contour)
8	500
15396735.818806	4358781.094413	-1
15396597.998865	4356300.335487	-1
15396873.638746	4352579.197099	-1
15398389.658090	4349960.618233	-1
15399354.397672	4346652.939665	-1
15399767.857493	4343069.621217	-1
15400043.497374	4340037.582530	-1
15400732.597075	4338108.103365	-1
15400870.417016	4335351.704559	-1
15401146.056896	4331354.926290	-1
15399492.217612	4322258.810229	-1
15399354.397672	4316332.552795	-1
15397149.278627	4311508.854884	-1
15393014.680417	4306409.517092	-1
15387777.522684	4299931.979897	-1
15385434.583699	4295383.921867	-1
15384194.204236	4291524.963538	-1
15384194.204236	4288630.744791	-1
15385848.043520	4284082.686761	-1
15388742.262267	4280223.728432	-1
15392187.760775	4278707.709088	-1
15396873.638746	4278156.429327	-1
15402248.616419	4280912.828134	-1
15404729.375345	4281877.567716	-1
15408588.333674	4281601.927835	-1
15411758.192301	4280085.908492	-1
15414514.591108	4277605.149566	-1
15416995.350033	4275537.850461	-1
15421405.588124	4274710.930819	-1
15424851.086632	4274986.570700	-1
15430501.704185	4275124.390640	-1
15433671.562812	4275951.310282	-1
15434911.942275	4276640.409984	-1
12	
15506578.311240	4435546.801171	-1
15500376.413926	4435960.260991	-1
15498446.934762	4437200.640454	-1
15496379.635657	4438992.299678	-1
15496103.995776	4443678.177649	-1
15498446.934762	4446572.396396	-1
15502168.073150	4446572.396396	-1
15504648.832076	4445745.476754	-1
15506440.491300	4443126.897888	-1
15507267.410942	4440646.138962	-1
15507129.591002	4437200.640454	-1
15505613.571658	4435546.801171	-1
37	500
15504097.552315	4493706.815985	-1
15504097.552315	4489296.577895	-1
15501754.613329	4486815.818969	-1
15499962.954105	4484197.240103	-1
15496655.275537	4482681.220759	-1
15493623.236850	4483370.320461	-1
15491004.657984	4485437.619566	-1
15489075.178820	4486953.638909	-1
15487283.519596	4489434.397835	-1
15483562.381207	4491915.156761	-1
15479841.242819	4493844.635925	-1
15476120.104430	4496049.754970	-1
15474879.724967	4498943.973717	-1
15475293.184788	4503354.211807	-1
15478187.403535	4507350.990076	-1
15481908.541923	4510520.848704	-1
15484940.580610	4512588.147808	-1
15487283.519596	4515206.726674	-1
15488248.259178	4518376.585302	-1
15488661.718999	4521684.263869	-1
15490039.918402	4525129.762377	-1
15492658.497268	4528299.621005	-1
15495828.355896	4529402.180527	-1
15498309.114821	4527334.881422	-1
15499549.494284	4524027.202855	-1
15498722.574642	4519203.504944	-1
15498584.754702	4516171.466257	-1
15498033.474941	4512174.687987	-1
15498584.754702	4507902.269837	-1
15499273.854403	4504318.951389	-1
15500376.413926	4502113.832344	-1
15501754.613329	4500322.173120	-1
15502994.992792	4497703.594254	-1
15503408.452613	4495498.475209	-1
15504648.832076	4493982.455865	-1
15504786.652016	4492052.976701	-1
15504786.652016	4491777.336820	-1
42	
15485491.860372	4460905.670189	-1
15489488.638641	4463662.068995	-1
15491693.757686	4463386.429115	-1
15494863.616313	4462421.689533	-1
15498309.114821	4461732.589831	-1
15502581.532971	4459940.930607	-1
15505889.211539	4458287.091323	-1
15508507.790405	4456771.071980	-1
15511264.189211	4455117.232696	-1
15514847.507659	4454290.313054	-1
15518568.646048	4455806.332397	-1
15521049.404974	4458287.091323	-1
15521049.404974	4461732.589831	-1
15518017.366287	4464213.348757	-1
15514847.507659	4465867.188040	-1
15511539.829092	4468761.406787	-1
15509748.169868	4472758.185056	-1
15509472.529987	4476341.503505	-1
15506991.771061	4480751.741595	-1
15504235.372255	4480751.741595	-1
15501065.513628	4478822.262430	-1
15497895.655000	4476754.963326	-1
15495966.175836	4474274.204400	-1
15494863.616313	4473309.464818	-1
15491142.477925	4473585.104698	-1
15487421.339536	4475514.583863	-1
15485216.220491	4478822.262430	-1
15481908.541923	4481165.201416	-1
15477911.763654	4481440.841296	-1
15474879.724967	4480476.101714	-1
15471020.766638	4477306.243087	-1
15470745.126758	4474687.664221	-1
15471020.766638	4472896.004997	-1
15471709.866340	4470828.705892	-1
15472812.425862	4468623.586847	-1
15474466.265146	4466969.747563	-1
15476533.564251	4465178.088339	-1
15478463.043415	4463662.068995	-1
15480805.982401	4461732.589831	-1
15482597.641625	4460905.670189	-1
15483700.201148	4460630.030308	-1
15486180.960073	4461594.769891	-1
30	300
15455171.473502	4589905.134327	-1
15455584.933323	4585494.896236	-1
15455584.933323	4581360.298027	-1
15455860.573203	4579292.998922	-1
15456411.852965	4576950.059937	-1
15458065.692248	4575985.320354	-1
15458341.332129	4573504.561429	-1
15457238.772607	4570059.062921	-1
15455860.573203	4567853.943876	-1
15454620.193740	4565097.545069	-1
15452690.714576	4561789.866502	-1
15451588.155053	4558620.007874	-1
15450623.415471	4556139.248949	-1
15450623.415471	4553658.490023	-1
15450623.415471	4551315.551038	-1
15451174.695233	4548972.612052	-1
15452690.714576	4545389.293604	-1
15456549.672905	4537533.557006	-1
15459719.531532	4535879.717722	-1
15465232.329145	4535604.077841	-1
15468677.827653	4536706.637364	-1
15473225.885683	4539463.036170	-1
15476395.744311	4542081.615036	-1
15480805.982401	4544975.833783	-1
15484664.940730	4547732.232589	-1
15489075.178820	4551729.010859	-1
15491142.477925	4553107.210262	-1
15495414.896075	4555587.969187	-1
15499825.134165	4558344.367994	-1
15501203.333568	4560687.306979	-1
32	
15435876.681857	4315092.173333	-1
15439184.360425	4321018.430766	-1
15440149.100007	4325153.028976	-1
15438495.260723	4330803.646529	-1
15435463.222036	4334938.244738	-1
15432155.543469	4339072.842948	-1
15429950.424423	4340588.862291	-1
15426918.385736	4342518.341456	-1
15424575.446751	4344861.280441	-1
15420716.488422	4347617.679248	-1
15417546.629795	4348995.878651	-1
15415065.870869	4349271.518531	-1
15410517.812838	4348306.778949	-1
15409966.533077	4344585.640560	-1
15410379.992898	4342242.701575	-1
15411482.552421	4339761.942649	-1
15412447.292003	4337832.463485	-1
15413825.491406	4334111.325096	-1
15414652.411048	4331630.566171	-1
15415617.150630	4329425.447126	-1
15417408.809854	4325704.308737	-1
15419062.649138	4323085.729871	-1
15420440.848541	4320191.511124	-1
15421405.588124	4317572.932258	-1
15423059.427408	4315505.633153	-1
15424851.086632	4313300.514108	-1
15426642.745856	4311784.494765	-1
15428847.864901	4310544.115302	-1
15430915.164006	4310406.295362	-1
15433258.102991	4312473.594466	-1
15434774.122335	4313851.793870	-1
15436290.141678	4315367.813213	-1
25	
15445524.077679	4286287.805806	-1
15446626.637202	4291111.503717	-1
15444421.518157	4292489.703120	-1
15443181.138694	4295383.921867	-1
15444145.878276	4298415.960554	-1
15444972.797918	4301447.999241	-1
15445524.077679	4303515.298346	-1
15447729.196725	4305306.957570	-1
15450485.595531	4308063.356376	-1
15454895.833621	4310268.475421	-1
15457652.232427	4312749.234347	-1
15459995.171413	4314954.353392	-1
15462475.930339	4317848.572139	-1
15464956.689264	4321018.430766	-1
15466059.248787	4323774.829573	-1
15467023.988369	4326669.048319	-1
15468126.547892	4329011.987305	-1
15469366.927354	4331492.746230	-1
15471985.506221	4334524.784917	-1
15474190.625266	4335627.344440	-1
15476947.024072	4336729.903963	-1
15479014.323177	4337005.543843	-1
15487559.159476	4335765.164380	-1
15489764.278522	4334386.964977	-1
15490177.738343	4334111.325096	-1
91	
15532764.099901	4539187.396290	-1
15526148.742765	4537947.016827	-1
15522703.244258	4536430.997483	-1
15520360.305272	4535052.798080	-1
15519395.565690	4530780.379930	-1
