GmLine v3.0(Contour)
34	1.4
15268573.868170	4476123.238353	-1
15280712.140500	4472825.622003	-1
15292225.075291	4466412.730732	-1
15297629.993197	4459042.568735	-1
15301682.708008	4447920.325200	-1
15297602.101641	4440369.431232	-1
15289473.122966	4429795.083575	-1
15278358.795823	4409530.803825	-1
15268571.036221	4392606.382426	-1
15260528.747803	4387375.218588	-1
15254164.490691	4386701.757799	-1
15246304.682513	4388326.408743	-1
14753939.572974	4392571.314991	-1
14745439.701241	4395450.303759	-1
14729673.810183	4394353.546133	-1
14705270.952835	4389143.947411	-1
14668803.761665	4383797.253985	-1
14642344.483913	4385442.390424	-1
14622739.941342	4386676.242754	-1
14607659.523982	4383934.348689	-1
14600941.883522	4379410.223482	-1
14593127.485437	4375434.477088	-1
14575030.984607	4379821.507592	-1
14565434.355380	4384482.727502	-1
14539934.740576	4388869.758006	-1
14538289.604137	4389829.420929	-1
29	3.4
14718294.949735	4454126.836750	-1
14725286.779658	4455497.783782	-1
14733649.556640	4454949.404969	-1
14738310.776605	4453167.173827	-1
14741875.238935	4449328.522136	-1
14742834.901869	4445901.154555	-1
14739955.913059	4439183.514096	-1
14735980.166614	4435619.051811	-1
14731318.946649	4425474.043771	-1
14724190.022010	4414506.467511	-1
14713359.540374	4408063.016459	-1
14698553.312348	4405321.122394	-1
14683609.989646	4404361.459472	-1
14667707.004038	4403950.175362	-1
14656876.522469	4405458.217098	-1
14643441.241540	4410942.005228	-1
14633981.707012	4421361.202675	-1
14634667.180528	4433014.252452	-1
14639876.779254	4445215.681041	-1
14645497.662091	4456457.446707	-1
14653449.154886	4468521.780592	-1
14661263.552979	4471674.958767	-1
14670997.276924	4473731.379316	-1
14681553.569097	4473457.189909	-1
14693754.997723	4469618.538218	-1
14695948.512983	4466602.454746	-1
14707601.562813	4459747.719583	-1
14710754.741005	4455086.499673	-1
14719528.802073	4454263.931453	-1
20	3.8
14674013.360400	4445489.870446	-1
14675658.496842	4439594.798207	-1
14676206.875656	4434522.294186	-1
14676343.970359	4427530.464321	-1
14673739.170992	4423006.339114	-1
14670723.087515	4420401.539752	-1
14668666.666963	4419304.782126	-1
14666473.151708	4418619.308610	-1
14663868.352343	4420127.350346	-1
14661949.026495	4421635.392081	-1
14659755.511240	4423554.717927	-1
14658110.374800	4426022.422586	-1
14657973.280096	4434796.483593	-1
14659618.416537	4440280.271723	-1
14662086.121199	4444118.923414	-1
14663182.878826	4448368.859215	-1
14666610.246412	4449054.332731	-1
14671956.939848	4449465.616841	-1
14673739.170993	4445901.154556	-1
14672916.602772	4445764.059853	-1
50	3
14613828.785629	4405869.501209	-1
14603546.682884	4407103.353538	-1
14595869.379502	4407103.353538	-1
14590522.686075	4407103.353538	-1
14585724.371461	4407377.542945	-1
14582434.098583	4408200.111164	-1
14579280.920408	4409296.868790	-1
14577498.689266	4412175.857558	-1
14583667.950912	4421498.297379	-1
14597240.326534	4436989.998846	-1
14607522.429279	4445078.586338	-1
14620683.520793	4454263.931455	-1
14629731.771210	4462626.708353	-1
14638231.642815	4472497.526987	-1
14641384.820991	4483053.819137	-1
14650021.787302	4493884.300693	-1
14659070.037725	4495803.626539	-1
14676618.159770	4493061.732473	-1
14680456.811469	4490594.027815	-1
14692246.955984	4485110.239685	-1
14705133.858145	4477981.315115	-1
14716375.623879	4470989.485249	-1
14726109.347889	4468247.591184	-1
14743520.375405	4465642.791822	-1
15250379.313125	4465131.719525	-1
15266037.064529	4467091.628233	-1
15276677.020756	4468017.671210	-1
15285187.950179	4457826.007388	-1
15281925.908808	4450218.469997	-1
15276210.820353	4440853.222130	-1
15271854.622968	4431257.713007	-1
15268201.508894	4421888.651441	-1
15256379.679039	4411556.510573	-1
15244842.817252	4407522.511127	-1
14749278.352997	4409022.679381	-1
14736391.450718	4409022.679381	-1
14731730.230756	4406006.595910	-1
14722544.885555	4401482.470703	-1
14716512.718567	4397918.008418	-1
14708835.415138	4395313.209057	-1
14696908.175901	4393942.262025	-1
14679908.432649	4394353.546135	-1
14670037.613997	4393256.788509	-1
14659481.321833	4392434.220290	-1
14647691.177343	4394079.356729	-1
14638917.116330	4395587.398465	-1
14629046.297693	4398877.671343	-1
14618352.910837	4403401.796550	-1
14614514.259145	4405184.027692	-1
14611772.365080	4405869.501209	-1
11	2.2
14730359.283703	4383934.348687	-1
14719117.517943	4382563.401654	-1
14703900.005794	4379684.412887	-1
14698827.501752	4377765.087041	-1
14697867.838825	4372418.393615	-1
14704037.100497	4370087.783659	-1
14720077.180870	4370910.351878	-1
14730496.378403	4372555.488317	-1
14733923.746020	4376119.950601	-1
14733238.272498	4381466.644028	-1
14730496.378407	4384208.538093	-1
25	2.6
14726109.347857	4360902.438541	-1
14727450.690678	4361192.563257	-1
14731593.136036	4361450.817354	-1
14731044.757217	4358434.733882	-1
14726931.916082	4355144.461005	-1
14712948.256250	4348563.915249	-1
14704585.479309	4342531.748306	-1
14696085.607673	4335128.634331	-1
14684706.747270	4328136.804466	-1
14673464.981580	4323201.395149	-1
14660578.079458	4318951.459349	-1
14648650.840265	4315661.186471	-1
14637546.169297	4316757.944097	-1
14632062.381165	4319911.122272	-1
14627538.255956	4323201.395150	-1
14623699.604264	4329507.751499	-1
14620820.615496	4333620.592597	-1
14620820.615496	4343765.600637	-1
14625070.551297	4348289.725844	-1
14636723.601077	4353362.229864	-1
14654408.817807	4354870.271600	-1
14677029.443873	4356378.313335	-1
14703900.005791	4357475.070960	-1
14712399.877436	4358023.449773	-1
14726324.916100	4361827.250282	-1
21	3
14679908.432646	4346781.684108	-1
14685940.599603	4345273.642372	-1
14687859.925453	4341572.085384	-1
14684158.368456	4339104.380726	-1
14680731.000867	4335128.634332	-1
14675384.307430	4331701.266751	-1
14668529.572256	4328273.899169	-1
14658521.658907	4324023.963369	-1
14651255.639629	4323886.868666	-1
14643715.430946	4324435.247479	-1
14638368.737516	4325394.910402	-1
14633570.422901	4328685.183280	-1
14631102.718242	4334717.350223	-1
14630965.623538	4338693.096617	-1
14633844.612308	4341434.990682	-1
14639054.211033	4344588.168856	-1
14645634.756793	4345684.926482	-1
14656465.238357	4347192.968218	-1
14664005.447044	4346918.778811	-1
14669215.045774	4347604.252327	-1
14681005.190275	4347055.873514	-1
18	1.4
14660581.117483	4537656.057947	-1
14660904.929688	4531827.438252	-1
14667381.173803	4524298.804479	-1
14683167.018844	4515960.640192	-1
14706238.638564	4509484.396086	-1
14722267.342839	4507541.522854	-1
14738538.906333	4509079.630829	-1
14749062.803167	4510051.067445	-1
15250563.581197	4507412.087338	-1
15257399.697233	4502969.244188	-1
15268467.241660	4498724.938521	-1
15282364.493150	4494369.696246	-1
15296664.928529	4491204.578763	-1
15309046.265695	4487279.299436	-1
15321889.733971	4484215.257836	-1
15331335.256766	4483652.854376	-1
15337921.248337	4485149.333921	-1
15339041.456662	4486126.595991	-1
